 format: day,hour,forecast,value  location:54_126 Start : 20200801 
 5,2300,+40,10.000000 
 5,2300,+46,40.000000 
 5,2300,+52,40.000000 
 5,2300,+58,40.000000 
 5,2300,+64,20.000000 
 6,0200,+7,0.000000 
 6,0200,+13,0.000000 
 6,0200,+19,0.000000 
 6,0200,+25,0.000000 
 6,0200,+31,0.000000 
 6,0200,+37,10.000000 
 6,0200,+43,40.000000 
 6,0200,+49,40.000000 
 6,0200,+55,40.000000 
 6,0200,+61,20.000000 
 6,0500,+4,0.000000 
 6,0500,+10,0.000000 
 6,0500,+16,0.000000 
 6,0500,+22,0.000000 
 6,0500,+28,0.000000 
 6,0500,+34,10.000000 
 6,0500,+40,40.000000 
 6,0500,+46,40.000000 
 6,0500,+52,40.000000 
 6,0500,+58,20.000000 
 6,0800,+7,0.000000 
 6,0800,+13,0.000000 
 6,0800,+19,0.000000 
 6,0800,+25,10.000000 
 6,0800,+31,20.000000 
 6,0800,+37,40.000000 
 6,0800,+43,40.000000 
 6,0800,+49,40.000000 
 6,0800,+55,40.000000 
 6,1100,+4,0.000000 
 6,1100,+10,0.000000 
 6,1100,+16,0.000000 
 6,1100,+22,10.000000 
 6,1100,+28,20.000000 
 6,1100,+34,40.000000 
 6,1100,+40,40.000000 
 6,1100,+46,40.000000 
 6,1100,+52,40.000000 
 6,1400,+7,0.000000 
 6,1400,+13,0.000000 
 6,1400,+19,10.000000 
 6,1400,+25,20.000000 
 6,1400,+31,40.000000 
 6,1400,+37,40.000000 
 6,1400,+43,40.000000 
 6,1400,+49,40.000000 
 6,1700,+4,0.000000 
 6,1700,+10,0.000000 
 6,1700,+16,10.000000 
 6,1700,+22,20.000000 
 6,1700,+28,40.000000 
 6,1700,+34,40.000000 
 6,1700,+40,40.000000 
 6,1700,+46,40.000000 
 6,2000,+7,10.000000 
 6,2000,+13,0.000000 
 6,2000,+19,0.000000 
 6,2000,+25,1.000000 
 6,2000,+31,20.000000 
 6,2000,+37,20.000000 
 6,2000,+43,5.000000 
 6,2000,+49,5.000000 
 6,2000,+55,10.000000 
 6,2000,+61,40.000000 
